NAZWA_PRZEDSIEBIORCY+A1:H1;NAZWA_PUNKTU;MIEJSCOWOSC;ULICA;NR_BUD;TYP_PUNKTU;NR_LOK;ADRES_OPISOWY
BP EUROPA SE ODDZIA£ W POLSCE;SKLEP SPOØYWCZY PRZY STACJI PALIW;GDA—SK;UL. JULIUSZA S£OWACKIEGO;80;HANDEL;;
BP EUROPA SE ODDZIA£ W POLSCE;SKLEP NA STACJI PALIW BP;GDA—SK;UL. JAB£ONIOWA;51;HANDEL;;
BP EUROPA SE ODDZIA£ W POLSCE;SKLEP NA STACJI PALIW;;;;HANDEL;;S£OWACKIEGO 187        GDA—SK
BP EUROPA SE ODDZIA£ W POLSCE;SKLEP NA STACJI PALIW;;;;HANDEL;;LUBCZYKOWA 2             GDA—SK
BP EUROPA SE ODDZIA£ W POLSCE;STACJA PALIW BP;GDA—SK;UL. PO£ ØE;19A;HANDEL;;
KOKSA - ROBERT ADAMCZYK;"SKLEP OG”LNOSPOØYWCZY ""KOKSA""";GDA—SK;UL. WOJSKIEGO;8B;HANDEL;;
"""POD BOCIANEM"" S.C. P&D ADAM DO£ECKI ( WSP”LNIK SP”£KI CYWILNEJ )";"SKLEP SPOØYWCZO-MONOPOLOWY ""POD BOCIANEM""";GDA—SK;UL. NA£KOWSKIEJ;1;HANDEL;;
"FIRMA HANDLOWA ""EWA"" EWA MOCZULSKA";"SKLEP SPOØYWCZY ""ØABKA""";GDA—SK;UL. SZCZECI—SKA;2A;HANDEL;;
SKLEP WIELOBRANØOWY EWA SENGERSKA;SKLEP MONOPOLOWY;GDA—SK;UL. KS. MARIANA G”RECKIEGO;6;HANDEL;A;
F.H.U. EMILEX EMIL P£USSA;"SKLEP SPOØYWCZY ""ØABKA""";GDA—SK;UL. W GLARSKA;1;HANDEL;4;
EXPRESS SP.Z O.O.;"SUPERMARKET ""EXPRESS""";GDA—SK;UL. MARII SK£ODOWSKIEJ-CURIE;3;HANDEL;;
EXPRESS SP.Z O.O.;SKLEP SPOØYWCZY CARREFOUR CONVENIENCE;GDA—SK;UL. D£UGIE OGRODY;11;HANDEL;;
SKLEP SPOØYWCZO-MONOPOLOWY KRZYSZTOF PRZEGIENDA;SKLEP SPOØYWCZY;GDA—SK;UL. W£ADYS£AWA BIEGA—SKIEGO;10;HANDEL;12;
"""FAMILIA"" KRYSTYNA SAJB";"SKLEP SIECI ""ØABKA""";GDA—SK;UL. ZOFII NA£KOWSKIEJ;3;HANDEL;;
"""FAMILIA"" KRYSTYNA SAJB";"SKLEP SIECI ""ØABKA""";GDA—SK;UL. JAåKOWA DOLINA;130a;HANDEL;l.uøytkowy;
SKLEP POD NOSEM ANDRZEJ WENDT;SKLEP POD NOSEM;GDA—SK;UL. £AGIEWNIKI;50;HANDEL;52;
"PRZEDSI BIORSTWO HANDLOWO-US£UGOWE - ARTYKU£Y OG”LNOSPOØYWCZE ""U JANA"" LIDIA NIEDZIA£EK";SKLEP U JANA;GDA—SK;UL. PROF. MARIANA RACIBORSKIEGO;1;HANDEL;D;
"""U HISZPANA"" SP. Z O.O.";SKLEP Z PRODUKTAMI REGIONALNYMI Z HISZPANI;GDA—SK;UL. Z£OTA KARCZMA;26;HANDEL;;
"SKLEP SPOØYWCZO MONOPOLOWY ""SMAKOSZ"" WIOLETTA G”RKA";"SKLEP ""SMAKOSZ""";GDA—SK;UL. ALEJA GEN. J”ZEFA HALLERA;105;HANDEL;;
HATS OFF - RAFA£ BEDNARCZYK;SKLEP ALKO-OUTLET;GDA—SK;UL. JAB£ONIOWA;21;HANDEL;;
HATS OFF - RAFA£ BEDNARCZYK;SKLEP MONOPOLOWY;GDA—SK;UL. GEN. KAZIMIERZA SOSNKOWSKIEGO;1C;HANDEL;10;
HATS OFF - RAFA£ BEDNARCZYK;SKLEP MONOPOLOWY;GDA—SK;UL. MORENOWE WZG”RZE;1;HANDEL;;
HATS OFF - RAFA£ BEDNARCZYK;SKLEP ALKO OUTLET;GDA—SK;UL. MARSZ. FERDYNANDA FOCHA;8;HANDEL;5;
"SKLEP MONOPOLOWY ""K£OSEK"" ELØBIETA CZAJKOWSKA-K£OS";"SKLEP MONOPOLOWO-SPOØYWCZY ""K£OSEK""";GDA—SK;UL. TRUBADUR”W;6;HANDEL;PAWILON H;
PRZEDSI BIORSTWO HANDLOWE MAGDALENA GALUHN;SKLEP SIECI ØABKA;GDA—SK;UL. MAURYCEGO BENIOWSKIEGO;11;HANDEL;U1;
REZUS KRYSTIAN NOWICKI;SKLEP SPOØYWCZO-MONOPOLOWY REZUS;GDA—SK;UL. TURYSTYCZNA;6;HANDEL;;
REZUS KRYSTIAN NOWICKI;SKLEP;GDA—SK;UL. TURYSTYCZNA;2;HANDEL;;
REZUS KRYSTIAN NOWICKI;SKLEP REZUS;GDA—SK;UL. W£ADYS£AWA IV;7;HANDEL;;
FIRMA HANDLOWA £UKASZ SULEJ;SKLEP MONOPOLOWY;GDA—SK;UL. DWORSKA;20A;HANDEL;;
FIRMA HANDLOWA TOMASZ MACIO£EK;"SKLEP SPOØYWCZO-MONOPOLOWY ""CZAR OLIWY""";GDA—SK;UL. ADAMA ASNYKA;1;HANDEL;;
ERBE BARTOSZ REYMAN;SKLEP SPOØYWCZY-MONOPOLOWY;GDA—SK;UL. ALEJA RZECZYPOSPOLITEJ;21B;HANDEL;;
PRZEDSI BIORSTWO HANDLOWO US£UGOWE OSKAR GRZEGORZ LEMANKIEWICZ;"SKLEP OG”LNOSPOØYWCZY ""ØABKA""";GDA—SK;UL. PAGANINIEGO;2;HANDEL;;
PRZEDSI BIORSTWO HANDLOWO US£UGOWE OSKAR GRZEGORZ LEMANKIEWICZ;SKLEP ØABKA;GDA—SK;UL. TARG DRZEWNY;12/14;HANDEL;;
OK MARKET SP. Z O.O.;"SUPERMARKET ""PIOTR I PAWE£""";GDA—SK;UL. NIEBOROWSKA;8;HANDEL;;
SKLEP WARZYWA-OWOCE JOANNA MADZIONG;SKLEP OWOCOW-WARZYWNO-SPOØYWCZY;GDA—SK;UL. ARTURA SCHOPENHAUERA;1;HANDEL;;
SKLEP WARZYWA-OWOCE JOANNA MADZIONG;SKLEP SPOZYWCZY;GDA—SK;UL. KWIETNA;39;HANDEL;;
DOM PIWA RAFA£ KOWALSKI;"SKLEP SPOØYWCZY ""DOM PIWA""";GDA—SK;UL. GOSPODY;19A;HANDEL;;
MTM MARIA MARCI—SKA;SKLEP OG”LNOSPOØYWCZY;GDA—SK;UL. JANA SOBIESKIEGO;40;HANDEL;;
"""MIKE"" KAZIMIERZ ARMATOWSKI";"SKLEP SPOØYWCZO-MONOPOLOWY ""MIKE""";GDA—SK;UL. ALEJA JANA PAW£A II;4H;HANDEL;1;
"""ZIELONE JAB£USZKO"" ANDRZEJ SZYMCZAK, SEBASTIAN SZYMCZAK";"SKLEP SPOØYWCZO-MONOPOLOWY ""ZIELONE JAB£USZKO""";GDA—SK;UL. OBRO—C”W WYBRZEØA;6B;HANDEL;;
"""ZIELONE JAB£USZKO"" ANDRZEJ SZYMCZAK, SEBASTIAN SZYMCZAK";SKLEP ZIELONE JAB£USZKO;GDA—SK;UL. POMORSKA;92;HANDEL;;
"""ZIELONE JAB£USZKO"" ANDRZEJ SZYMCZAK, SEBASTIAN SZYMCZAK";SKLEP SIECI ZIELONE JAB£USZKO;GDA—SK;UL. WYZWOLENIA;51;HANDEL;C;
"F.M. ""PARMA"" WITOLD MAKOWSKI";SKLEP SPOØYWCZO-WINIARSKI;GDA—SK;UL. OPATA JACKA RYBI—SKIEGO;24;HANDEL;10;
"RUBIN-MARCHLEWSKA SKLEP SPOØYWCZO MONOPOLOWY""TOåKA""";"SKLEP SPOØYWCZO-MONOPOLOWY ""TOåKA""";GDA—SK;UL. DERDOWSKIEGO;10B;HANDEL;;
PRZEDSI BIORSTWO INNOWACYJNE JACEK SCIBOREK;SKLEP SPOØYWCZO-MONOPOLOWY;GDA—SK;UL. MODRA;32;HANDEL;;
CENTRO FINACE MAGDALENA PRUSZY—SKA;SKLEP SIECI ØABKA;GDA—SK;UL. KAPR”W;3;HANDEL;LU1;
"RADZIKOWSKA PAULA  ""COSTA""";"SKLEP SIECI ""ØABKA""";GDA—SK;UL. WOLNOåCI;21;HANDEL;A;
NETTO SP.Z O.O.;"SUPERMARKET ""NETTO""";GDA—SK;UL. WARSZAWSKA;19;HANDEL;;
NETTO SP.Z O.O.;SKLEP SPOØYWCZY;GDA—SK;UL. FRANCISZKA RAKOCZEGO;13;HANDEL;;
NETTO SP.Z O.O.;"SUPERMARKET ""NETTO"" NR 417";GDA—SK;UL. KALINOWA;3;HANDEL;;
NETTO SP.Z O.O.;SUPERMARKET NETTO NR 505;GDA—SK;UL. åWI TOKRZYSKA;50;HANDEL;;
"SKLEP WIELOBRANØOWY ""DAGA"" ARKADIUSZ KOWSZYK";"SKLEP WIELOBRANØOWY ""DAGA""";GDA—SK;UL. T CZOWA;18;HANDEL;;
"MARIA FULLBRANDT SKLEP ""SMERFUå""";"SKLEP OG”LNOSPOØYWCZY ""SMERFUå""";GDA—SK;UL. ZAMENHOFA;39B;HANDEL;;
"FIRMA ""SZANK-EL"" SP.JAWNA J.GUTFRA—SKI9, A.PUCZY—SKI";SKLEP SPOØYWCZY;GDA—SK;UL. ØAGLOWA;2;HANDEL;;
"DOCK-POL SP. Z O.O. RESTAURACJA ""GOLDWASSER""";PUNKT DETALICZNY;GDA—SK;UL. D£UGIE POBRZEØE;22;HANDEL;;
"""PAN TADEUSZ"" PIEKARNIA SKLEP TADEUSZ SZCZECI—SKI";SKLEP PAN TADEUSZ;GDA—SK;UL. HUBALA;33;HANDEL;;
ORBIS S.A.;SKLEP WINIARSKI;GDA—SK;UL. HEWELIUSZA;22;HANDEL;;
ORBIS S.A.;SKLEP WINESTONE SHOP;GDA—SK;UL. KAPLICZNA;30;HANDEL;;
"SKLEP OG”LNO SPOØYWCZY""U JANA""-VIOLETTA PETTKE";"SKLEP SPOØYWCZY ""U JANA""";GDA—SK;UL. SM GORZY—SKA;15A;HANDEL;;
KOS OSKAR TOPOLEWSKI;SKLEP OG”LNOSPOØYWCZY;GDA—SK;UL. SZEROKA;14;HANDEL;;
"SKLEP OG”LNOSPOØYWCZY ""A & A"" ANNA åCIUBE£";SKLEP A&A;GDA—SK;UL. KO£OBRZESKA;65 M;HANDEL;;
ATUT REGINA KOØUCHOWSKA;SKLEP PIEKARNICZO-SPOØYWCZY;GDA—SK;UL. WILANOWSKA;4;HANDEL;XII;
P.H. MAGDALENA KOSMEJA;SKLEP SPOZYWCZY;GDA—SK;UL. JANA PESTALOZZIEGO;20;HANDEL;;
DMG MONIKA GAWENDA;SKLEP DMG HERBATY I DEKORACJE;GDA—SK;UL. RAJSKA;10;HANDEL;;
FIRMA HANDLOWO-US£UGOWA CZECHOWSKI WALDEMAR;SKLEP OG”LNOSPOZYWCZY;GDA—SK;UL. WYZWOLENIA;51;HANDEL;;
SKLEP OG”LNOSPOØYWCZY DIAMENT GABRIELA KASZUBSKA;SKLEP DIAMENT;GDA—SK;UL. DAMROKI;1C;HANDEL;1;
SKLEP OG”LNOSPOØYWCZY DIAMENT GABRIELA KASZUBSKA;SKLEP DIAMENT;GDA—SK;UL. PIASKOWA;8;HANDEL;;
SKLEP OG”LNOSPOØYWCZY DIAMENT GABRIELA KASZUBSKA;SKLEP DIAMENT;GDA—SK;UL. DIAMENTOWA;4;HANDEL;;
SKLEP OG”LNOSPOØYWCZY DIAMENT GABRIELA KASZUBSKA;SKLEP SPOØYWCZY;GDA—SK;UL. KARTUSKA;149;HANDEL;;
SKLEP OG”LNOSPOØYWCZY DIAMENT GABRIELA KASZUBSKA;SKLEP OG”LNOSPOØYWCZY DIAMENT;GDA—SK;UL. W£ADYS£AWA CIESZY—SKIEGO;38;HANDEL;4;
"SKLEP SPOØYWCZO-MONOPOLOWY ""AXEL"" ANNA LEWANDOWSKA";SKLEP SIECI ØABKA;GDA—SK;UL. WITA STWOSZA;13;HANDEL;;
"SKLEP SPOØYWCZO-MONOPOLOWY ""AXEL"" ANNA LEWANDOWSKA";"SKLEP SIECI ""ØABKA""";GDA—SK;UL. åL•SKA;39A;HANDEL;;
"SKLEP SPOØYWCZO-MONOPOLOWY ""AXEL"" ANNA LEWANDOWSKA";SKLEP SIECI ØABKA;GDA—SK;UL. GOSPODY;19;HANDEL;A;
"""AMBRA"" SP”£KA AKCYJNA";SKLEP WINE CLUB;GDA—SK;UL. ALEJA GRUNWALDZKA;82;HANDEL;;
"""AMBRA"" SP”£KA AKCYJNA";"SKLEP ""CENTRUM WINA""";GDA—SK;UL. ALEJA GRUNWALDZKA;141;HANDEL;;
"""AMBRA"" SP”£KA AKCYJNA";"SKLEP ""CENTRUM WINA""";GDA—SK;UL. TARG SIENNY;7;HANDEL;;
FESTUS SOPOCKIE TOWARZYSTWO WINIARSKIE SP. Z O.O.;SKLEP WINIARSKI W C.H. ALFA CENTRUM;GDA—SK;UL. KO£OBRZESKA;41;HANDEL;C;
FESTUS SOPOCKIE TOWARZYSTWO WINIARSKIE SP. Z O.O.;SKLEP WINIARSKI;GDA—SK;UL. ALEJA GRUNWALDZKA;141;HANDEL;;
FESTUS SOPOCKIE TOWARZYSTWO WINIARSKIE SP. Z O.O.;SKLEP WINIARSKI;GDA—SK;UL. RAJSKA;10;HANDEL;;
"SKLEP SPOØYWCZO-MONOPOLOWY ""MICHA£"" MICHA£ KREFFT";"SKLEP SPOØYWCZO-MONOPOLOWY ""MICHA£""";GDA—SK;UL. LEONA KRUCZKOWSKIEGO;27B;HANDEL;;
FIRMA PRODUKCYJNO HANDLOWO  US£UGOWA TOMASZ BRUSZCZAK;SKLEP SPOØYWCZO-MONOPOLOWY;GDA—SK;UL. LESZCZYNOWA;90;HANDEL;U6;
"""KAåKA-MARKET I"" JERZY JANUSZ SLIØ";SKLEP SPOØYWCZY KAåKA MARKET I;GDA—SK;UL. TRAKT åW. WOJCIECHA;20;HANDEL;;
PROVALT MARCIN SZCZEPA—SKI;SKLEP SPOØYWCZO-WARZYWNICZY;GDA—SK;UL. KS. BERNARDA SYCHTY;2A;HANDEL;;
P.H.U. PAWE£ FIGA—SKI;"SKLEP ""FRESHMARKET""";GDA—SK;UL. SREBRNA;46;HANDEL;2;
P.H.U. PAWE£ FIGA—SKI;SKLEP ØABKA;GDA—SK;UL. KALINOWA;11;HANDEL;;
P.H.U. PAWE£ FIGA—SKI;"SKLEP SIECI ""ØABKA""";GDA—SK;UL. PRZYTULNA;7;HANDEL;U1, U2;
SKLEP MI SO-W DLINY ART. SPOØYWCZE BECKER KRZYSZTOF;SKLEP;GDA—SK;UL. RZ SNA;3;HANDEL;;
GRZEGORZ GRZENKOWICZ HOTMAGIC;"SKLEP SIECI ""ØABKA""";GDA—SK;UL. STARTOWA;4A;HANDEL;;
"WARZYWA OWOCE ""VERTUS"" - MARIUSZ WOJEWODA";SKLEP SPOØYWCZY;GDA—SK;UL. D£UGIE OGRODY;11;HANDEL;;
SKLEP OG”LNOSPOØYWCZY JURAN G”RSKI JERZY;SKLEP SPOØYWCZY JURAN;GDA—SK;UL. SIENNICKA;10A;HANDEL;;
EMI MICHA£ G£OWATY;SKLEP SPOØYWCZO-MONOPOLOWY EMI;GDA—SK;UL. KAZIMIERZA POR BSKIEGO;66;HANDEL;U1;
"SKLEP SPOØYWCZO-MONOPOLOWY ""PROMIL"" ARTUR åWIATOWY";SKLEP SPOØYWCZO-MONOPOLOWY PROMIL;GDA—SK;UL. LECZKOWA;12;HANDEL;;
PRZEDSI BIORSTWO HANDLOWO-US£UGOWE ALTOM ALICJA £YSKAWI—SKA;SKLEP SPOØYWCZY;GDA—SK;UL. GOSPODY;1A;HANDEL;;
DARIUSZ SZYMA—SKI SKLEP SPOØYWCZO -PRZEMYS£OWY GDA—SK UL.JKARTUSKA 321B;SKLEP SPOØYWCZO-PRZEMYS£OWY;GDA—SK;UL. KARTUSKA;321B;HANDEL;;
"SKLEP ""SOLO"" MIROS£AW DOMØALSKI";"SKLEP ""SOLO""";GDA—SK;UL. CIESZY—SKIEGO;6;HANDEL;;
"PHU ""GEO-POMIAR"" WALDEMAR POMIERNY";SKLEP OG”LNOSPOØYWCZY;GDA—SK;UL. MAKI;29;HANDEL;;
"FIRMA HANDLOWO-US£UGOWA ""MADOR"" BEATA SIEZIENIEWSKA";SKLEP SPOZYWCZY ØABKA NR Z 0538;GDA—SK;UL. ALEJA JANA PAW£A II;11;HANDEL;B;
"FIRMA HANDLOWO-US£UGOWA ""MADOR"" BEATA SIEZIENIEWSKA";"SKLEP SIECI ""ØABKA""";GDA—SK;UL. JANUSZA MEISSNERA;20;HANDEL;;
SKLEP SPOØYWCZO-MONOPOLOWY PAWE£ SIATKOWSKI;SKLEP SPOØYWCZO-MONOPOLOWY;GDA—SK;UL. ASESORA;10;HANDEL;;
TURIST PLUS W£ODZIMIERZ SIENNICKI;SKLEP TURIST PLUS;GDA—SK;UL. MA£OMIEJSKA;45A;HANDEL;;
TURIST PLUS W£ODZIMIERZ SIENNICKI;SKLEP SPOZYWCZO-MONOPOLOWY;GDA—SK;UL. MYåLIWSKA;17A;HANDEL;;
MONIQ MONIKA FREITAG;SKLEP SPOØYWCZY;GDA—SK;UL. SZCZECI—SKA;23;HANDEL;;
"F.H. ""SADI"" DARIUSZ SADOWSKI";SKLEP SPOØYWCZY;GDA—SK;UL. KO£OBRZESKA;53;HANDEL;;
HALINA IMIANOWSKA SKLEP MI SNO-W DLINIARSKI I ARTYKU£Y SPOØYWCZE;SKLEP MI SNO-W DLINIARSKI;GDA—SK;UL. £OWICKA;11A;HANDEL;;
"SKLEP OG”LNOSPOØYWCZY ""MARCIN"" LUCYNA WOJTONIAK";SKLEP SPOØYWCZO-PRZEMYS£OWY;GDA—SK;UL. BALCERSKIEGO;32;HANDEL;;
CAFE BAR MON BALZAC BOGDAN WASILEWSKI;SKLEP;GDA—SK;UL. OGARNA;35/36;HANDEL;;
SKLEP SPOØYWCZY GRAØYNA BURCZYK UL. MA£OMIEJSKA 47, 80-037 GDA—SK;SKLEP;GDA—SK;UL. MA£OMIEJSKA;47;HANDEL;;
"SKLEP SPOØYWCZO-MONOPOLOWY "" DOMINIK"" HILDEBRANDT PIOTR";SKLEP;GDA—SK;UL. PIEKARNICZA;17;HANDEL;;
"PRZEDSI BIORSTWO HANDLOWE  ""EWA""  KOZ£OWSKI WIES£AW";"SKLEP SPOØYWCZY ""EWA""";GDA—SK;UL. KILI—SKIEGO;19;HANDEL;;
"SKLEP WIELOBRANØOWY ""GIEWONT"" - KAIM JERZY";SKLEP WIELOBRANØOWY;GDA—SK;UL. OTOMI—SKA;13;HANDEL;;
"FIRMA HANDLOWA ""PATRYKUS"" S.C. MA£GORZATA I KRZYSZTOF SOWI—SCY";SKLEP SPOØYWCZY;GDA—SK;UL. KO£OBRZESKA;42B;HANDEL;;
"FIRMA HANDLOWA ""PATRYKUS"" S.C. MA£GORZATA I KRZYSZTOF SOWI—SCY";SKLEP SPOØYWCZY;GDA—SK;UL. KO£OBRZESKA;42E;HANDEL;;
SKLEP OG”LNOSPOØYWCZY GABRIELA HABERKA;SKLEP SPOØYWCZY;GDA—SK;UL. KIELNIE—SKA;91;HANDEL;;
SKLEP SPOØYWCZY D&D  DANUTA TRYNKA;SKLEP SPOØYWCZY D&D;GDA—SK;UL. STRZELC”W KARPACKICH;6C;HANDEL;14;
GRZEGORZ GRZENKOWICZ HOTMAGIC;"SKLEP SIECI ""ØABKA""";GDA—SK;UL. ØWIRKI I WIGURY;10;HANDEL;;
MA£PKA SP”£KA AKCYJNA;"SKLEP SPOØYWCZO-MONOPOLOWY ""MA£PKA EXPRESS""";GDA—SK;UL. ST•GIEWNA;12;HANDEL;1;
SYLWIK SYLWIA BORKOWSKA;SKLEP ØABKA;GDA—SK;UL. PIASTOWSKA;82;HANDEL;;
BLUE MARKET PIOTR B£ASZKOWSKI SP”£KA JAWNA;DELIKATESY KR”WKA;GDA—SK;UL. IGNACEGO PADEREWSKIEGO;11;HANDEL;;
BLUE MARKET PIOTR B£ASZKOWSKI SP”£KA JAWNA;SKLEP SPOØYWCZO-MONOPOLOWY;GDA—SK;UL. KOMBATANT”W;4;HANDEL;19;
BLUE MARKET PIOTR B£ASZKOWSKI SP”£KA JAWNA;DELIKATESY KR”WKA;GDA—SK;UL. KARTUSKA;106;HANDEL;108;
SKLEP LIBRA EUGENIUSZ FIGURSKI;"SKLEP SPOØYWCZY ""LIBRA""";GDA—SK;UL. NOWE OGRODY;37;HANDEL;;
"""NEPTUN"" GRZEGORZ KWASIBORSKI";SKLEP SPOØYWCZY;GDA—SK;UL. ALEJA GRUNWALDZKA;24;HANDEL;;
"""NEPTUN"" GRZEGORZ KWASIBORSKI";SKLEP SPOØYWCZY;GDA—SK;UL. ADAMA MICKIEWICZA;37;HANDEL;39;
F.H.U. ANDRZEJ S KOWSKI;"SKLEP SPOØYWCZY ""ØABKA""";GDA—SK;UL. KONSTANTEGO BERGIELA;2B;HANDEL;;
"P.T.P.H.U. ""BEATKA"" HUTROWNIA ARTYKU£”W TYTONIOWO-CHEMICZNYCH ADAM BETLEJEWSKI";SKLEP OG”LNOSPOØYWCZY;GDA—SK;UL. POWSTANIA STYCZNIOWEGO;6;HANDEL;;
"PAWILON HANDLOWY ""IZA"" IZABELA JASI—SKA-H÷FT";"PAWILON HANDLOWY ""IZA""";GDA—SK;UL. MYCZKOWSKIEGO;7;HANDEL;;
"PRZEDSI BIORSTWO HANDLWO US£UGOWE ""CONTRACTOR"" JACEK DARMOROST";SKLEP FRESHMARKET;GDA—SK;UL. ALEJA RZECZYPOSPOLITEJ;3;HANDEL;;
"PRZEDSI BIORSTWO HANDLWO US£UGOWE ""CONTRACTOR"" JACEK DARMOROST";SKLEP FRESHMARKET;GDA—SK;UL. POLANKI;31;HANDEL;;
PRZEDSI BIORSTWO HANDLOWO-US£UGOWE CAROS JAN R”SZKOWSKI;SKLEP SPOØYWCZY;GDA—SK;UL. SPADZISTA;5;HANDEL;;
"""IKS"" KRZYSZTOF SADOWSKI";SKLEP SPOØYWCZO-MONOPOLOWY;GDA—SK;UL. KOåCIUSZKI;116;HANDEL;;
MONTE CARLO S.C. ANNA SOBOLEWSKA, WOJCIECH SOBOLEWSKI;SKLEP OG”LNOSPOØYWCZY;GDA—SK;UL. JAGIELLO—SKA;2A;HANDEL;;
BARCZEWSKA MONIKA SKLEP SPOØYWCZO-PRZEMYS£OWY;SKLEP SPOØYWCZO-MONOPOLOWY;GDA—SK;UL. KARTUSKA;351;HANDEL;;
"F.H. ""GOSIA"" MA£GORZATA STOKFISZ-BORYCZKO";SKLEP SPOØYWCZY;GDA—SK;UL. DAMROKI;1D;HANDEL;;
FIRMA HANDLOWO-US£UGOWA MARZENA BEKISZ;SKLEP SPOØYWCZY;;;;HANDEL;;SZARA R”G SKRAJNEJ
TB BALTIC MARKET - GRZEGORZ BACHANEK;SKLEP SPOØYWCZO-MONOPOLOWY TB BALTIC MARKET;GDA—SK;UL. STRYJEWSKIEGO;23;HANDEL;;
TB BALTIC MARKET - GRZEGORZ BACHANEK;SKLEP SPOØYWCZO-MONOPOLOWY;GDA—SK;UL. RZ SNA;3;HANDEL;;
"WERONIKA SOCHACZEWSKA SKLEPIK WIELOBRANØOWY ""BASIA""";"SKLEPIK WIELOBRANØOWY ""BASIA""";GDA—SK;UL. ANGIELSKA GROBLA;8-10;HANDEL;;
BACH TERESA ARTYKU£Y ROLNO-SPOØYWCZE;SKLEP;GDA—SK;UL. TYSI•CLECIA;24;HANDEL;;
"""CHATKA"" - PIOTR CHINIEWICZ";"SKLEP SPOØYWCZY ""CHATKA""";GDA—SK;UL. D•BROWSZCZAK”W;34;HANDEL;;
"ZAK£AD PRODUKCYJNO-US£UGOWO-HANDLOWY""TER-BUD-PLAST""MARIAN CZARNECKI";SKLEP SPOØYWCZY;GDA—SK;UL. KIELNIE—SKA;165;HANDEL;;
"""MIDAR"" DARIUSZ DREWA";SKLEP;GDA—SK;UL. KIELNIE—SKA;120;HANDEL;;
"P.H.U. ""D I C"" WALDEMAR DU£AK";"SKLEP SPOØYWCZY ""D I C""";GDA—SK;UL. TRAKT åW. WOJCIECHA;123;HANDEL;3;
"GARBOå HANNA ""SAGA"" SKLEP SPOØYWCZO-WARZYWNICZY";"SKLEP SPOØYWCZO-WARZYWNICZY ""SAGA""";GDA—SK;UL. ROZRAØEWSKIEGO;1;HANDEL;5;
GEREJCZYK KRZYSZTOF SKLEP OG”LNOSPOØYWCZY;SKLEP OG”LNOSPOØYWCZY;GDA—SK;UL. JEREMIASZA FALCK POLONUSA;14A;HANDEL;;
"ZDZIS£AW GOSZ P.H.U. ""GOSZ""";SKLEP;GDA—SK;UL. PLAC DOMINIKA—SKI;1;HANDEL;;
"SKLEP SPOØYWCZO-WARZYWNY ""MK"" MARIA GEREJCZYK";SKLEP SPOØYWCZO-WARZYWNY;GDA—SK;UL. SZPAKI;1;HANDEL;;
IZABELA BRZOSKOWSKA - HA—SKA;SKLEP MONOPOLOWY BOCIAN;GDA—SK;UL. KLONOWA;1;HANDEL;2;
IZABELA BRZOSKOWSKA - HA—SKA;SKLEP MONOPOLOWY;GDA—SK;UL. ALEJA GRUNWALDZKA;130;HANDEL;;
"PRZEDSI BIORSTWO HANDLOWO-US£UGOWE ""ZIELONY DOMEK"" JACEK JAKUBCZYK";SKLEP SPOØYWCZY;GDA—SK;UL. PRZEBIåNIEGOWA;2;HANDEL;;
"SKLEP SPOØYWCZO-PRZEMYS£OWY""JOLAND""JOLANTA PIASK";"SKLEP SPOZYWCZO-PRZEMYS£OWY ""JOLAND""";GDA—SK;UL. JERZEGO WALDORFFA;3;HANDEL;7;
"SKLEP SPOØYWCZO-PRZEMYS£OWY""JOLAND""JOLANTA PIASK";"SKLEP SPOØYWCZO-PRZEMYS£OWY ""JOLAND""";GDA—SK;UL. MATEMBLEWSKA;53;HANDEL;;
SKLEP OG”LNOSPOØYWCZY GRAØYNA KINAL;SKLEP OG”LNOSPOØYWCZY;GDA—SK;UL. POWSTANIA LISTOPADOWEGO;2C;HANDEL;;
"SKLEP SPOØYWCZY ""GRAØKA"" GRAØYNA KLIMEK";SKLEP SPOØYWCZY GRAØKA;GDA—SK;UL. S£OWACKIEGO;37D;HANDEL;;
"SKLEP SPOØYWCZY ""GRAØKA"" GRAØYNA KLIMEK";"SKLEP SPOØYWCZY ""GRAØKA""";GDA—SK;UL. WARY—SKIEGO;4;HANDEL;;
KAMI S.C. VIOLETTA CECHOSZ DARIUSZ CECHOSZ;SKLEP SPOØYWCZY KAMI;GDA—SK;UL. DMOWSKIEGO;1;HANDEL;;
KAMI S.C. VIOLETTA CECHOSZ DARIUSZ CECHOSZ;SKLEP SPOØYWCZY;GDA—SK;UL. PARTYZANT”W;44;HANDEL;;
KAMI S.C. VIOLETTA CECHOSZ DARIUSZ CECHOSZ;"SKLEP OGOLNOSPOØYWCZY ""KAMI""";GDA—SK;UL. G”RALSKA;49;HANDEL;;
OLTIM SP. Z O.O.;PUNKT DETALICZNY;GDA—SK;UL. TARG DRZEWNY;12;HANDEL;14;
PAWE£ £ GOWSKI;SKLEP ØABKA;GDA—SK;UL. HENRYKA HUBERTUSA JAB£O—SKIEGO;17;HANDEL;;
PAWE£ £ GOWSKI;SKLEP ØABKA;GDA—SK;UL. SZPAKI;1;HANDEL;;
PAWE£ £ GOWSKI;"SKLEP SPOØYWCZY ""ØABKA""";GDA—SK;UL. STARTOWA;2B;HANDEL;;
PAWE£ £ GOWSKI;"SKLEP SIECI ""ØABKA""";;;;HANDEL;;GDA—SK, UL. TRUBADUR”W, DZIA£KA NR 257/2
